severity,type,slug,entryId,titleZh,cueId,time,en,zh,details
medium,long_zh_cue,course-introduction,1_ru7q9spi,課程介紹,11,00:00:55.180 --> 00:00:55.740,Hey Jeff,嘿，Jeff。,ZH length 7; 12.5 chars/sec
medium,long_zh_cue,course-introduction,1_ru7q9spi,課程介紹,16,00:01:10.540 --> 00:01:19.900,Massive massive amounts of secure transactions for stuff like paychecks health care insurance your phone your credit card your bank account the internet,大量大量安全的交易，包括薪資、健保、保險、手機、信用卡、銀行帳戶、網路，,ZH length 36; 3.8 chars/sec
medium,long_zh_cue,crypto-express-key-management,1_52mzshqn,Crypto Express 金鑰管理,1,00:00:03.060 --> 00:00:07.060,"Hi, I'm Mark Nelson from the RACF Development Team in Poughkeepsie, New York, and we just",大家好，我是來自紐約Poughkeepsie的RACF開發團隊的Mark Nelson，我們剛剛,ZH length 47; 11.8 chars/sec
medium,long_zh_cue,crypto-express-key-management,1_52mzshqn,Crypto Express 金鑰管理,14,00:00:48.060 --> 00:00:52.060,It might be in fetch protected storage that only trusted and authorized people within,它可能存在於 fetch protected 的儲存區，只有 ZOS 環境中被信任且授權的人員能存取。,ZH length 46; 11.5 chars/sec
medium,long_zh_cue,crypto-express-key-management,1_52mzshqn,Crypto Express 金鑰管理,17,00:00:59.060 --> 00:01:04.060,"With the crypto express card and something called protected keys, you can get the best of both worlds.",透過 Crypto Express 卡與所謂的 protected keys，您能兼顧兩者優點。,ZH length 43; 8.6 chars/sec
medium,long_zh_cue,crypto-express-key-management,1_52mzshqn,Crypto Express 金鑰管理,19,00:01:10.060 --> 00:01:15.060,"transport key or an L-par specific key, sometimes called it a femoral key, although I hate that word.",傳輸金鑰或特定 L-par 金鑰包裹，有時稱為 femoral key，雖然我不喜歡這個詞。,ZH length 42; 8.4 chars/sec
medium,long_zh_cue,crypto-express-key-management,1_52mzshqn,Crypto Express 金鑰管理,24,00:01:39.060 --> 00:01:45.060,"The CPACF can use the key that was used to wrap it, which is available to it because it's the hypervisor.",CPACF 可以使用用來包裹密鑰的密鑰，因為它是虛擬機管理程式，可以取得該密鑰。,ZH length 39; 6.5 chars/sec
medium,long_zh_cue,hmc-and-se,1_6kwwnujx,HMC 與 SE,2,00:00:09.980 --> 00:00:17.620,What's that there for that's the support element for the SE in order to get the mainframe all configured and ready to boot up,那是 SE 的 Support Element，用來將大型主機配置好並準備開機。,ZH length 36; 4.7 chars/sec
medium,long_zh_cue,hmc-and-se,1_6kwwnujx,HMC 與 SE,4,00:00:24.100 --> 00:00:25.700,Through the support element,透過 Support Element 進行設定。,ZH length 21; 13.1 chars/sec
medium,long_zh_cue,hmc-and-se,1_6kwwnujx,HMC 與 SE,10,00:00:48.780 --> 00:00:57.340,Luckily in addition to the SEs mainframes have this concept of the HMC or the hardware management console and these do four things,幸運的是，除了 SE 之外，大型主機還有 HMC（硬體管理主控台）的概念，它有四個功能。,ZH length 41; 4.8 chars/sec
medium,long_zh_cue,hmc-and-se,1_6kwwnujx,HMC 與 SE,80,00:04:15.180 --> 00:04:15.900,So we need that,所以我們需要那個,ZH length 8; 11.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,1,00:00:04.270 --> 00:00:15.270,"I hope everyone got their permission slip signed because today, we're going on a little field trip over to the raised floor with one of our favorite people, everyone say hi to Chris.",希望大家的同意書都簽好了，因為今天我們要和大家最喜歡的員工之一一起，去 raised floor 小小參觀一下，大家跟 Chris 打聲招呼吧。,ZH length 67; 6.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,5,00:00:30.270 --> 00:00:38.270,"They might be rotated, placed in slightly different locations, but typically a mainframe lives in one or more racks like this.",這些零件可能旋轉過，放置在略有不同的位置，但大型主機通常放在一個或多個像這樣的機架中。,ZH length 43; 5.4 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,8,00:00:52.270 --> 00:01:03.270,is where you find all the main processors and memory. It's important to keep all that centrally located and connected because a short connection means faster access.,這裡有主要的處理器與記憶體。保持這些集中且互連很重要，因為連接越短，存取越快。,ZH length 39; 3.5 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,9,00:01:03.270 --> 00:01:12.270,"On a system with four CPC drawers, you can have up to 208 processors in up to 64 terabytes of memory.",一個有四個 CPC 抽屜的系統，可以有最多 208 個處理器及 64 TB 記憶體。,ZH length 35; 3.9 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,11,00:01:17.270 --> 00:01:29.270,"There's multiple power supply units, points of load, voltage regulator modules and processor power control cards, which feature sensors for pressure, temperature and humidity.",有多組電源供應器、負載點、電壓調節模組及處理器電源控制卡，配備有壓力、溫度和濕度感測器。,ZH length 44; 3.7 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,13,00:01:36.270 --> 00:01:45.270,"A lot of times these components are N plus two redundant, meaning that two of them can fail and the system will still have enough spares to keep going.",這些元件多為 N 加二冗餘設計，意思是即使有兩個故障，系統仍有足夠備件繼續運作。,ZH length 38; 4.2 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,14,00:01:45.270 --> 00:01:55.270,"But get this, this system adds an 11% boost in single thread performance over the Z16 while using 17% less power.",你看這個系統，相較於 Z16 單執行緒效能提升 11%，卻用電量降低 17%。,ZH length 35; 3.5 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,16,00:01:58.270 --> 00:02:08.270,"The CPC drawers also have something called a PCIe fan out, which is a fancy way of saying a whole bunch of cables coming out to connect to IO devices.",CPC 櫃子內還有 PCIe fan out，一種集中多條線纜連接 IO 裝置的技術名稱。,ZH length 39; 3.9 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,17,00:02:08.270 --> 00:02:18.270,"This is an example of where they connect to. This is a PCIe IO drawer, a fully loaded Z17 can have up to 12 of these.",這是它們所連接的位置示例，這是一個 PCIe IO 櫃，完整的 Z17 最多可配備 12 個。,ZH length 40; 4.0 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,19,00:02:26.270 --> 00:02:37.270,"The processors at the heart of all of this, their IBM tell them two processors. These are five nanometer technology with 43 billion transistors each.",這些處理器是整個系統的核心，IBM 稱它們為 tell them two 處理器，每顆採用五奈米技術，含 430 億個電晶體。,ZH length 56; 5.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,20,00:02:37.270 --> 00:02:49.270,"Those are the processors that are going to be running the operating systems, the applications, the workloads, but they also have a special DPU or data processing unit for things like crypto and AI.",這些處理器將執行作業系統、應用程式和工作負載，並有專用的 DPU 用於加密和 AI 等任務。,ZH length 42; 3.5 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,21,00:02:49.270 --> 00:02:58.270,But the fun doesn't stop there. The spire is a new PCIe device with 32 AI accelerators similar to the ones on the tell them two.,但樂趣不只於此。Spire 是一款新 PCIe 裝置，內建 32 個類似於 Telum 的 AI 加速器。,ZH length 44; 4.9 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,22,00:02:58.270 --> 00:03:12.270,"So if you're running large language models or AI infused workloads in fraud detection and don't want that work running on your main processors, the spire might be a good fit for some of those empty slots in your PCIe drawers.",如果你在執行大型語言模型或用於詐欺偵測的 AI 工作負載，且不希望這些工作佔用主處理器，Spire 可能是 PCIe 槽位中空缺位置的好選擇。,ZH length 66; 4.7 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,23,00:03:12.270 --> 00:03:25.270,"A hardware is impressive, but if you've ever built your own PC, you're likely already familiar with a lot of this terminology. You might even be saying, alright, so it's a big PC and well, yes, and no.",這硬體相當厲害，但如果你曾組裝過自己的 PC，應該對很多術語不陌生。你甚至可能想說，這不就是大型 PC 嗎？嗯，部分是，也部分不是。,ZH length 63; 4.8 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,24,00:03:25.270 --> 00:03:41.270,"Mostly no. It's a system built specifically for secure high transaction business applications. You've probably seen a PC built for gaming, a PC built for office use or a PC designed for recording and editing, audio and video.",大多數情況是否。它是專為安全且交易量高的商業應用而打造的系統。你可能見過為遊戲、辦公或影音錄製剪輯設計的 PC。,ZH length 55; 3.4 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,25,00:03:41.270 --> 00:03:54.270,"Aside by side, each PC will be specked out with something that makes it excel in that area, an amazing video card, super fast storage and a ton of RAM, a printer.",不同 PC 配備各自擅長的配備——頂級顯示卡、超快儲存裝置和大量 RAM，再加上一台印表機。,ZH length 43; 3.3 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,26,00:03:54.270 --> 00:04:04.270,"But at their core, they're still running the same operating system on the same type of processor, which has a middle of the road set of instructions that it can perform.",但核心來說，它們都執行相同的作業系統，使用同類的處理器，具備中等偏上的指令集能力。,ZH length 41; 4.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,27,00:04:04.270 --> 00:04:15.270,"A system like this isn't just specked for business applications, it's designed and built from the ground up specifically for those secure high transaction business applications.",這類系統不只是為商用應用配備，更是從零開始設計並建造，專門針對安全且交易量高的商業應用。,ZH length 44; 4.0 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,28,00:04:15.270 --> 00:04:25.270,"A hardware we're looking at and all of the firmware, millicoat, OS code and applications loaded onto it. You guessed it, really good at running business applications.",我們看的是硬體，以及其上所有韌體、millicoat、OS 代碼和應用程式。你猜對了，極擅長執行商務應用。,ZH length 52; 5.2 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,29,00:04:25.270 --> 00:04:33.270,So don't look for an IBM Z port of Skyrim anytime soon. There's not even a place to plug in a display because it doesn't need one. Why would it?,所以別指望什麼 IBM Z 版 Skyrim 很快出現。連顯示器插孔都沒有，因為根本不需要。誰會需要呢？,ZH length 47; 5.9 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,31,00:04:47.980 --> 00:04:57.980,"But what about when you need to reboot or reconfigure something? Well, that requires special access and that sort of management is handled by these two systems right up here.",那如果你需要重新啟動或重新設定什麼呢？這就需要特殊權限，這種管理由這兩套系統負責。,ZH length 41; 4.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,32,00:04:57.980 --> 00:05:06.980,"Well, technically one of these systems, the second one is there as a backup, but anyway, this is a hardware management appliance or HMA.",技術上講，這兩套系統中第二套是備援，不過，這其實是一台硬體管理設備，或稱 HMA。,ZH length 40; 4.4 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,35,00:05:18.980 --> 00:05:28.980,All you need to know is the no actual customer applications or workloads are getting run on these things. They exist just so people can log into them and manage the systems.,你只要知道這些系統上不會執行任何客戶應用程式或工作負載，它們只是讓人登入並管理系統的工具。,ZH length 45; 4.5 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,36,00:05:28.980 --> 00:05:39.980,"So that way, if there's a network express card set up for these two lpars, but we also want it to connect to these other lpars, we can use the HMC to make those changes.",這樣，如果為這兩個 LPAR 設定了 Network Express 卡，但又要讓它連接其他 LPAR，就能用 HMC 來調整。,ZH length 56; 5.1 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,38,00:05:44.980 --> 00:05:56.980,"Of course, we don't want just anyone going in and messing with devices, so who gets that type of access is strictly controlled and enforced with SSO and multi factor authentication.",當然，不會讓任何人任意存取或亂動裝置，權限會透過單一登入和多因素驗證嚴格控管。,ZH length 39; 3.3 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,40,00:06:07.980 --> 00:06:17.980,"If you're into hardware, there are mainframe jobs for people who deal primarily with cabling, reconfiguring, upgrading and management of these systems behind the scenes.",如果你對硬體有興趣，有大型主機工作專門負責布線、重配置、升級及幕後系統管理。,ZH length 38; 3.8 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,43,00:06:32.980 --> 00:06:43.980,"So, even if you never actually get to see the system you're working on, rest assured, it was built to perform and protect with some pretty amazing hardware and software design.",即使你從未真正看到你正在使用的系統，請放心，它是用性能與安全為優先設計的優秀硬體與軟體打造。,ZH length 46; 4.2 chars/sec
medium,long_zh_cue,ibm-z-components,1_j4rkx3qu,IBM Z 元件,44,00:06:43.980 --> 00:06:52.980,"Everyone say, thank you, Chris, goodbye, Chris, everyone say, thank you, Z17, goodbye, Z17.",大家一起說，謝謝你，Chris，再見，Chris，大家一起說，謝謝你，Z17，再見，Z17。,ZH length 46; 5.1 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,4,00:00:19.010 --> 00:00:27.110,"In a mainframe environment, disk storage is handled by something called direct access storage devices, commonly called DASDI.",在大型主機環境中，磁碟儲存由稱為直接存取儲存裝置（DASDI）的設備管理。,ZH length 37; 4.6 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,6,00:00:34.110 --> 00:00:44.110,"They can provide the disk storage for mainframe. They can actually provide disk storage for many mainframes, and many DASDI can be connected to a single mainframe.",它們可以為大型主機提供磁碟儲存，甚至能同時服務多台大型主機，且多個 DASDI 可以連接到單一大型主機。,ZH length 50; 5.0 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,8,00:00:47.110 --> 00:00:56.110,"In order to make these connections to devices like DASDI and others, we need to define the logical paths through the physical connections, so it all works.",為了連接 DASDI 和其他裝置，我們需定義透過物理連接的邏輯路徑，才能讓系統正常運作。,ZH length 42; 4.7 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,9,00:00:56.110 --> 00:01:08.110,"Things are better when they work, right? The iOS CDS, which stands for the input-output configuration dataset, represents the connection between the resources and the systems that use them.",系統正常運作當然最好，IOCDS（Input/Output Configuration Data Set）代表資源與使用這些資源系統間的連接。,ZH length 68; 5.7 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,11,00:01:14.110 --> 00:01:22.110,"Basically, anything outside of the mainframe that we want to connect to, and the stuff inside the mainframe that we're going to use to connect to it.",基本上，任何位於大型主機外部且我們希望連接的裝置，以及大型主機內部用來連接它的資源。,ZH length 42; 5.3 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,42,00:03:45.110 --> 00:03:51.110,"you can also define what's called a multiple image facility image ID, or myth ID.",您也可以定義所謂的 multiple image facility 映像 ID，或稱 myth ID。,ZH length 44; 7.3 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,67,00:05:25.110 --> 00:05:32.110,"So basically, how I'm going to connect to the control unit, what it is I'm trying to connect to, that channel path I'm using to connect to it,",基本上，就是我要如何連接控制單元，以及我打算連接的目標，還有用來連接的通道路徑，,ZH length 40; 5.7 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,75,00:05:59.110 --> 00:06:06.110,"What we're going to be doing with the following five statements is building a connection between an L-par through a chippet,",接著要做的，是用接下來的五個指令建立 L-par 經 chippet 的連結，,ZH length 35; 5.0 chars/sec
medium,long_zh_cue,iocds,1_5hs3mb8z,IOCDS,102,00:07:52.110 --> 00:07:58.110,We start out by defining channel path ID-35 in channel subsystem-1.,我們先定義 channel subsystem-1 中的通道路徑 ID-35。,ZH length 35; 5.8 chars/sec
medium,possibly_merged_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,24,00:02:00.250 --> 00:02:03.250,Guess what? More on that in a bit too.,猜猜看？稍後還會再提到這個。,Chinese cue has multiple sentence endings in a short time window
medium,long_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,28,00:02:15.250 --> 00:02:28.250,"So the IPL resource initialization module, IRIM, first attempts to locate the load xx member in the cis0.IPL param data set.",因此，IPL 資源初始化模組 IRIM 會先嘗試在 cis0.IPL param 資料集找到 load xx 成員。,ZH length 49; 3.8 chars/sec
medium,long_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,31,00:02:34.250 --> 00:02:44.250,That's just the common way of saying it could be load zero zero or load zero one or whatever we told it look for in characters five and six of the load parameter.,這是一般說法，表示可能是載入 00、01，或我們指定在載入參數的第 5 和 6 個字元尋找的任何代碼。,ZH length 46; 4.6 chars/sec
medium,long_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,32,00:02:44.250 --> 00:02:54.250,If it's not there it'll look in cis1.IPL param and then in cis2.IPL param and all the way up to cis9.IPL param.,如果找不到，它會在 cis1.IPL param、cis2.IPL param 一直到 cis9.IPL param 中尋找。,ZH length 56; 5.6 chars/sec
medium,long_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,35,00:03:06.250 --> 00:03:13.250,If the cis dot whatever IPL param couldn't be found on the IODF volume the search continues.,如果 IODF 卷宗上找不到 cis.dot.whatever IPL param，就會繼續搜尋。,ZH length 44; 6.3 chars/sec
medium,long_zh_cue,ipling-an-operating-system,1_c1w1vq9x,對作業系統執行 IPL,39,00:03:24.250 --> 00:03:32.250,"Anyway, if it can't find it there it'll look in cis1.parmli on another volume called the cis res volume.",總之，如果找不到，它會在另一個稱為 cis res 卷宗的 cis1.parmli 查找。,ZH length 40; 5.0 chars/sec
medium,long_zh_cue,mainframe-architecture,1_7e45b5a8,大型主機架構,1,00:00:03.600 --> 00:00:08.680,"It's important to realize that there is no one version of the mainframe, but rather",重要的是要了解，沒有單一版本的大型主機，而是一系列遵循大型主機架構的電腦。,ZH length 37; 7.3 chars/sec
medium,long_zh_cue,mainframe-architecture,1_7e45b5a8,大型主機架構,6,00:00:23.520 --> 00:00:24.520,models before.,它們存在於筆電、手機和大型主機中。,ZH length 17; 17.0 chars/sec
medium,long_zh_cue,mainframe-architecture,1_7e45b5a8,大型主機架構,9,00:00:32.800 --> 00:00:34.800,memory to go around.,即使在滿載的系統上，應用程式總是渴望更多記憶體，,ZH length 24; 12.0 chars/sec
medium,near_duplicate_previous_zh_cue,mainframe-features,1_1v889967,大型主機特性,40,00:01:57.850 --> 00:01:59.850,It's not about me.,這不是關於我。,Similar to previous cue 39
medium,long_zh_cue,mainframe-features,1_1v889967,大型主機特性,70,00:03:36.850 --> 00:03:40.850,"Those tools include the ZOS encryption readiness toolkit,",這些工具包括 z/OS encryption readiness toolkit，,ZH length 37; 9.3 chars/sec
medium,long_zh_cue,mainframe-features,1_1v889967,大型主機特性,89,00:04:44.850 --> 00:04:48.850,"During what is called the boost period, the system is allowed to use processors,",在所謂的 boost 期間，系統可以使用通常禁用、保留給特殊工作負載的處理器，,ZH length 37; 9.3 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,1,00:00:03.380 --> 00:00:10.380,"Operating systems. Once you've made an LPAR on a mainframe, you probably want to run an operating system on it.",作業系統。一旦你在大型主機上建立了 LPAR，通常會想要在上面執行作業系統。,ZH length 37; 5.3 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,4,00:00:23.380 --> 00:00:32.380,"When the mainframe moved to the Z architecture, basically when it started running 64-bit, the operating systems got renamed with that Z as well.",當大型主機改用 Z 架構，基本上是開始跑 64 位元時，作業系統名稱也隨之改成以 Z 開頭。,ZH length 40; 4.4 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,5,00:00:32.380 --> 00:00:39.380,So that's why you see that. So the ZOS operating system is the flagship IBM mainframe operating system.,這就是為什麼你會看到這個名稱。z/OS 是 IBM 大型主機的旗艦作業系統。,ZH length 35; 5.0 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,6,00:00:39.380 --> 00:00:49.380,"And if you trace the lineage of that operating system way back, it's a direct descendant of the original OS360 that ran back on that first mainframe back in 1964.",如果追溯這個作業系統的血統，可直追回1964年那台第一台大型主機上執行的 OS360。,ZH length 42; 4.2 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,8,00:00:58.380 --> 00:01:08.380,"If someone today has a mainframe, chances are they're running ZOS. And we're actually going to come back to this and talk more about ZOS later, but I want to talk about the other operating systems first.",現今若有人擁有大型主機，很可能就是在跑 z/OS。我們稍後會再談 z/OS，但先介紹其他作業系統。,ZH length 47; 4.7 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,9,00:01:08.380 --> 00:01:20.380,"First, there's Z-TPF, which stands for Z transaction processing facility, commonly used by companies dealing with high volumes of transactions that need to get handled in real time.",首先是 Z-TPF，代表 Z transaction processing facility，通常用於需即時處理大量交易的公司。,ZH length 59; 4.9 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,10,00:01:20.380 --> 00:01:31.380,"That means credit card processors, airline reservation systems, hotel and auto rental chains, Z-TPF is extremely tied to the world of travel and logistics.",像是信用卡處理、航空訂位系統、飯店和租車連鎖，Z-TPF 與旅遊及物流密切相關。,ZH length 39; 3.5 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,11,00:01:31.380 --> 00:01:46.380,"ZVM is all about virtualization. Now, we mentioned ZVM briefly before the idea behind it is to provide guest operating systems running essentially within ZVM, and then they get access to all the resources that the host ZVM is running with.",ZVM 全面圍繞虛擬化。我們之前簡要提過，ZVM 的核心概念是提供在 ZVM 內執行的來賓作業系統，並且這些系統可使用主機 ZVM 具備的所有資源。,ZH length 68; 4.5 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,12,00:01:46.380 --> 00:02:00.380,"Interesting thing about ZVM is that it is a type one hypervisor. So, instead of running it on top of another operating system and then using that to host the virtual machines, ZVM doesn't need another operating system to do its thing.",ZVM 有趣的地方是它屬於第一型 hypervisor。它不是跑在另一個作業系統之上來管理虛擬機，而是直接運行，不需要其他作業系統。,ZH length 64; 4.6 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,13,00:02:00.380 --> 00:02:11.380,It does its own thing. That makes ZVM extremely efficient and valuable for testing and development. Any operating system that runs on the mainframe will run within ZVM.,它自行運作。這讓 ZVM 極為高效且適合測試與開發。任何在大型主機上可執行的作業系統都能在 ZVM 中運行。,ZH length 50; 4.5 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,14,00:02:11.380 --> 00:02:18.380,"So, if you need a whole bunch of systems, but don't want to use up your L-Pars, ZVM can do some pretty interesting things.",因此，如果你需要大量系統，但又不想佔用你的 L-Pars，ZVM 可以做到許多有趣的事。,ZH length 42; 6.0 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,15,00:02:18.380 --> 00:02:35.380,"The other operating system IBM makes is called ZVSE. This is a lesser used operating system, but it's still very important for smaller companies who need something like ZOS, which can do transaction and batch processing, but don't need something that big or that complex.",IBM 另一個作業系統是 ZVSE。這是較少被使用的作業系統，但對於需要像 z/OS 一樣能執行交易及批次處理、但不需要那麼大或複雜的公司，仍然非常重要。,ZH length 73; 4.3 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,16,00:02:35.380 --> 00:02:42.380,"Also don't need as many people to run as ZVSE instance, and that's appealing to smaller companies with fewer people.",而且，運作 ZVSE 也不需要那麼多人，這對於人力較少的小型公司來說很有吸引力。,ZH length 38; 5.4 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,17,00:02:42.380 --> 00:02:50.380,"And then there's Linux. The same Linux that runs on phones, watches, game consoles, toasters. Guess what? It runs on the mainframe too.",還有 Linux，就是那些跑在手機、手錶、遊戲主機、吐司機上的 Linux。你猜怎麼著？它也能在大型主機上運行。,ZH length 54; 6.8 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,18,00:02:50.380 --> 00:02:57.380,"And it runs extremely well. And if you know Linux, then you know Linux on the mainframe. Everything looks pretty much the same.",而且運行得非常好。如果你熟悉 Linux，那麼你就知道大型主機上的 Linux。操作介面基本相同。,ZH length 47; 6.7 chars/sec
medium,long_zh_cue,mainframe-operating-systems,1_q1drndng,大型主機作業系統,20,00:03:02.380 --> 00:03:08.380,"I remember when Linux first started showing up on the mainframe, people thought it was crazy. It was a crazy idea.",我記得 Linux 剛開始出現在大型主機時，人們覺得這很瘋狂，真的是個瘋狂的想法。,ZH length 39; 6.5 chars/sec
